    WinStart       WinEnd Samples_Number      Min      Max       Mean
      122.15        122.5       17       30       47    39.1176
       122.5       122.85       22       30       81    50.7273
      122.85        123.2       14       47      139       76.5
       123.2       123.55       11       42      179         77
      123.55        123.9        9       59      159         99
       123.9       124.25        9       99      179    132.667
      124.25        124.6        9       62      146    83.7778
       124.6       124.95        9       62      167    99.3333
      124.95        125.3        5      104      241        178
       125.3       125.65        4      139      219        159
      125.65          126        4       62      102         72
         126       126.35        7       77      216        124
      126.35        126.7        8       77      176      117.5
       126.7       127.05       11       28       77    57.6364
      127.05        127.4       25       28       39      30.84
       127.4       127.75       25       28       33       30.4
      127.75        128.1       27       28       33    30.5926
       128.1       128.45       24       28       33       30.5
      128.45        128.8       26       28       33       30.5
       128.8       129.15       15       28       33    30.3333
      129.15        129.5        0        0        0          0
       129.5       129.85        1      660      660        660
      129.85        130.2        0        0        0          0
       130.2       130.55       25       30     1297     221.52
      130.55        130.9       37       30       89    48.7297
       130.9       131.25       37       38       78    53.7297
      131.25        131.6       35       38       68    53.7143
       131.6       131.95       29       32       68    44.1379
      131.95        132.3       30       31       69    39.6333
       132.3       132.65       37       31       78    41.5405
      132.65          133       37       35       45    40.1351
         133       133.35       31       35       56    49.0645
      133.35        133.7       25       45      111      65.68
       133.7       134.05       15       34       89       54.8
      134.05        134.4       24       38       60    43.0417
       134.4       134.75       25       29       68      52.24
      134.75        135.1       23       29       73     44.087
       135.1       135.45       16       44      140    73.4375
      135.45        135.8       15       31       73       49.2
       135.8       136.15       23       29       50    35.3913
      136.15        136.5       29       29       43         33
       136.5       136.85       28       29       36       32.5
      136.85        137.2       26       29       53    36.3846
       137.2       137.55       26       33       44       38.5
      137.55        137.9       25       33       44      38.28
       137.9       138.25       26       33       45    38.8462
      138.25        138.6       25       33       45      39.24
       138.6       138.95       13       48      129    76.7692
      138.95        139.3       20       28       95       46.3
       139.3       139.65       28       28       40    33.3571
      139.65          140       31       28       40    31.6774
         140       140.35       30       28       51       42.7
      140.35        140.7       30       38       50         44
       140.7       141.05       31       28       50    42.7742
      141.05        141.4       36       28       34         31
       141.4       141.75       35       28       58    32.9714
      141.75        142.1       37       28       45    32.3514
       142.1       142.45       35       30       39    34.3714
      142.45        142.8       20       30       88       60.8
       142.8       143.15       16       30      100       56.5
      143.15        143.5       15       33       65    49.2667
       143.5       143.85       12       44       65      50.75
      143.85        144.2       10       44      160       73.1
       144.2       144.55        4      139      240     204.25
      144.55        144.9        3       99      139    125.667
       144.9       145.25        7       43      139         82
      145.25        145.6        9       62      104    80.6667
       145.6       145.95       14       43      118    61.2143
      145.95        146.3       11       43      140    94.1818
       146.3       146.65        8       99      139        119
      146.65          147        9       99      139    121.222
         147       147.35       24       30      107    40.1667
      147.35        147.7       24       30       38         34
       147.7       148.05       21       30       40    34.2857
      148.05        148.4       19       40       77    60.1053
       148.4       148.75       18       50      122         73
      148.75        149.1        8      104      194     142.75
       149.1       149.45        5       99      139      126.6
      149.45        149.8        8       99      179        134
