    WinStart       WinEnd Samples_Number      Min      Max       Mean
      122.15        122.5       23       30      149    85.8696
       122.5       122.85       22       47      132    73.8636
      122.85        123.2       11       44      139    72.9091
       123.2       123.55        7       42      139         86
      123.55        123.9        8       42       99         68
       123.9       124.25       10       62      139       95.5
      124.25        124.6       14       62       83       72.5
       124.6       124.95       10       83      167      101.9
      124.95        125.3        4      108      268     168.75
       125.3       125.65        4      139      219        159
      125.65          126        5       62      102         70
         126       126.35        7       77      182    122.143
      126.35        126.7        6       77      176      118.5
       126.7       127.05        7       46      113    67.1429
      127.05        127.4       20       28       39       30.8
       127.4       127.75       23       28       45    31.5652
      127.75        128.1       25       28       33       30.4
       128.1       128.45       11       28       33    30.6364
      128.45        128.8        0        0        0          0
       128.8       129.15        0        0        0          0
      129.15        129.5        0        0        0          0
       129.5       129.85        0        0        0          0
      129.85        130.2        0        0        0          0
       130.2       130.55        0        0        0          0
      130.55        130.9        0        0        0          0
       130.9       131.25        0        0        0          0
      131.25        131.6        0        0        0          0
       131.6       131.95        0        0        0          0
      131.95        132.3        0        0        0          0
       132.3       132.65        0        0        0          0
      132.65          133        0        0        0          0
         133       133.35        0        0        0          0
      133.35        133.7        0        0        0          0
       133.7       134.05        0        0        0          0
      134.05        134.4        0        0        0          0
       134.4       134.75        0        0        0          0
      134.75        135.1        0        0        0          0
       135.1       135.45        0        0        0          0
      135.45        135.8        0        0        0          0
       135.8       136.15        0        0        0          0
      136.15        136.5        0        0        0          0
       136.5       136.85        0        0        0          0
      136.85        137.2        0        0        0          0
       137.2       137.55       12       46      113       82.5
      137.55        137.9       16       33      135     71.375
       137.9       138.25       14       33       95    69.9286
      138.25        138.6        9       36       71    52.7778
       138.6       138.95       14       33       91    60.2143
      138.95        139.3       23       34       71    41.6087
       139.3       139.65       23       32       40    36.7826
      139.65          140       27       28       61    38.1852
         140       140.35       16       34       97      60.25
      140.35        140.7       12       38       73      58.25
       140.7       141.05       15       38       97         60
      141.05        141.4       26       28       46    36.2308
       141.4       141.75       24       26       72    37.3333
      141.75        142.1       22       40       60    44.6818
       142.1       142.45       22       37       63    47.3636
      142.45        142.8       21       46       54    49.8095
       142.8       143.15       24       30       65      40.75
      143.15        143.5       14       33       87    59.1429
       143.5       143.85        6       44       76    55.6667
      143.85        144.2        0        0        0          0
       144.2       144.55        0        0        0          0
      144.55        144.9        0        0        0          0
       144.9       145.25        2       77       97         87
      145.25        145.6        8      104      187    144.125
       145.6       145.95       13       43      125         68
      145.95        146.3        5       83      241      138.4
       146.3       146.65        5      139      219        203
      146.65          147        5       62      219      101.4
         147       147.35       17       30      142    44.2353
